Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
961,Justin Verlander\verlaju01,36,HOU,AL,21,6,0.778,2.58,34,34,0,2,1,0,223,137,66,64,36,42,0,300,6,0,4,847,179,3.27,0.803,5.5,1.5,1.7,12.1,7.14
103,Shane Bieber\biebesh01,24,CLE,AL,15,8,0.652,3.28,34,33,1,3,2,0,214.1,186,86,78,31,40,1,259,6,1,6,859,144,3.32,1.054,7.8,1.3,1.7,10.9,6.48
83,Trevor Bauer\bauertr01,28,TOT,MLB,11,13,0.458,4.48,34,34,0,1,1,0,213,184,118,106,34,82,0,253,19,0,10,911,104,4.34,1.249,7.8,1.4,3.5,10.7,3.09
190,Gerrit Cole\colege01,28,HOU,AL,20,5,0.8,2.5,33,33,0,0,0,0,212.1,142,66,59,29,48,0,326,3,3,4,817,185,2.64,0.895,6,1.2,2,13.8,6.79
898,Stephen Strasburg\strasst01,30,WSN,NL,18,6,0.75,3.32,33,33,0,0,0,0,209,161,79,77,24,56,4,251,10,0,8,841,138,3.25,1.038,6.9,1,2.4,10.8,4.48
369,Zack Greinke\greinza01,35,TOT,MLB,18,5,0.783,2.93,33,33,0,0,0,0,208.2,175,73,68,21,30,2,187,4,1,2,810,154,3.22,0.982,7.5,0.9,1.3,8.1,6.23
537,Lance Lynn\lynnla01,32,TEX,AL,16,11,0.593,3.67,33,33,0,0,0,0,208.1,195,89,85,21,59,0,246,8,0,18,875,141,3.13,1.219,8.4,0.9,2.5,10.6,4.17
611,Mike Minor*\minormi01,31,TEX,AL,14,10,0.583,3.59,32,32,0,2,1,0,208.1,190,86,83,30,68,1,200,7,0,2,863,144,4.25,1.238,8.2,1.3,2.9,8.6,2.94
142,Madison Bumgarner*\bumgama01,29,SFG,NL,9,9,0.5,3.9,34,34,0,0,0,0,207.2,191,99,90,30,43,3,203,10,0,3,844,107,3.9,1.127,8.3,1.3,1.9,8.8,4.72
218,Jacob deGrom\degroja01,31,NYM,NL,11,8,0.579,2.43,32,32,0,0,0,0,204,154,59,55,19,44,1,255,7,0,2,804,167,2.67,0.971,6.8,0.8,1.9,11.3,5.8
769,Eduardo Rodriguez*\rodried05,26,BOS,AL,19,6,0.76,3.81,34,34,0,0,0,0,203.1,195,88,86,24,75,2,213,7,0,3,859,126,3.86,1.328,8.6,1.1,3.3,9.4,2.84
